timestamp,Basilea Temperature [2 m elevation corrected],Basilea Precipitation Total,Basilea FAO Reference Evapotranspiration [2 m]
20220114T2100,2.3805285,0,0
20220114T2200,1.6805286,0,0
20220114T2300,0.7505287,0,0
20220115T0000,0.110528655,0,0
20220115T0100,0.030528657,0,0
20220115T0200,-0.12947133,0,0
20220115T0300,-0.20947134,0,0
20220115T0400,-0.14947134,0,0
20220115T0500,-0.04947134,0,0
20220115T0600,0.110528655,0,0
20220115T0700,0.56052864,0,0
20220115T0800,2.0005286,0,0.003239453
20220115T0900,1.5505286,0,0.004332802
20220115T1000,1.3505287,0,0.006811923
20220115T1100,2.2905285,0,0.039492376
20220115T1200,3.3705285,0,0.075331286
20220115T1300,4.4505286,0,0.10390175
20220115T1400,5.8505287,0,0.13076591
20220115T1500,6.9905286,0,0.13350482
20220115T1600,7.5805287,0,0.114252746
20220115T1700,7.2605286,0,0.07046572
20220115T1800,6.290529,0,0.018090947
20220115T1900,3.8805285,0,0.000354008
20220115T2000,1.4705287,0,0
20220115T2100,1.0405287,0,0
20220115T2200,1.2905287,0,0
20220115T2300,1.5105287,0,0
20220116T0000,1.7605287,0,0
20220116T0100,1.9505286,0,0
20220116T0200,2.1005285,0,0.001853625
20220116T0300,2.1205285,0,0.001218943
20220116T0400,1.8405286,0,0
20220116T0500,1.7805287,0,0.001603092
20220116T0600,1.2805287,0,0.014664897
20220116T0700,0.5705287,0,0.017789379
20220116T0800,0.45052865,0,0.010453583
20220116T0900,0.6905287,0,0.005201278
20220116T1000,0.90052867,0,0.003805537
20220116T1100,2.3105285,0,0.038623784
20220116T1200,4.2205286,0,0.09815663
20220116T1300,5.5305285,0,0.13518594
20220116T1400,4.8605285,0,0.14476693
20220116T1500,5.3805285,0,0.15016289
20220116T1600,5.4705286,0,0.12988223
20220116T1700,4.9705286,0,0.088171646
20220116T1800,3.7505286,0,0.03363383
20220116T1900,3.4505286,0,0.02442902
20220116T2000,3.0805285,0,0.0214731
20220116T2100,3.2605286,0,0.020161644
20220116T2200,3.5505285,0,0.014632637
20220116T2300,3.5105286,0,0.008097875
20220117T0000,3.3905284,0,0.001313785
20220117T0100,2.9405286,0,0
20220117T0200,3.2605286,0,0
20220117T0300,4.0805287,0,0.005900153
20220117T0400,4.290529,0,0.014946544
20220117T0500,4.1705284,0,0.01397276
20220117T0600,4.2305284,0,0.011079054
20220117T0700,4.040529,0,0.008848427
20220117T0800,3.6705287,0,0.007574242
20220117T0900,3.4805286,0,0.004865
20220117T1000,3.7905285,0,0.011062136
20220117T1100,4.6805286,0,0.045379646
20220117T1200,5.5705285,0,0.08710097
20220117T1300,6.3605285,0,0.11569123
20220117T1400,6.3905287,0,0.12391008
20220117T1500,6.7405286,0,0.13225794
20220117T1600,6.8405285,0,0.11292332
20220117T1700,6.5205283,0,0.077557445
20220117T1800,5.4505286,0,0.02499545
20220117T1900,4.0505285,0,0.007666986
20220117T2000,3.1905286,0,0.002151055
20220117T2100,2.8805285,0,0
20220117T2200,2.9505286,0,0
20220117T2300,3.3305285,0,0
20220118T0000,3.2005286,0,0
20220118T0100,3.0205286,0,0
20220118T0200,2.8305285,0,0
20220118T0300,2.6305285,0,0
20220118T0400,1.6805286,0,0
20220118T0500,0.6905287,0,0
20220118T0600,0.99052864,0,0
20220118T0700,0.6905287,0,0
20220118T0800,0.7605287,0,0
20220118T0900,0.30052868,0,0
20220118T1000,0.60052866,0,0
20220118T1100,1.6305287,0,0.03494749
20220118T1200,3.8905284,0,0.08211925
20220118T1300,5.5505285,0,0.1223174
20220118T1400,6.2605286,0,0.14019836
20220118T1500,6.8005285,0,0.14123261
20220118T1600,6.7305284,0,0.12177087
20220118T1700,6.1905284,0,0.08056656
20220118T1800,4.8405285,0,0.028838359
20220118T1900,3.3905284,0,0.013962018
20220118T2000,2.3105285,0,0.006894729
20220118T2100,1.5505286,0,0.003177716
20220118T2200,0.86052865,0,0.001396705
20220118T2300,0.73052865,0,0.002475895
20220119T0000,0.5805287,0,0.004144021
20220119T0100,0.30052868,0,0.003492335
20220119T0200,0.18052867,0,0.004123895
20220119T0300,0.25052866,0,0.006267638
20220119T0400,-0.38947132,0,0.002089579
20220119T0500,-0.82947135,0,0
20220119T0600,-1.0094713,0,0
20220119T0700,-0.9894713,0,0
20220119T0800,-0.83947134,0,0.001070314
20220119T0900,-0.82947135,0,0.00091905
20220119T1000,-0.069471344,0,0.005723895
20220119T1100,2.4705286,0,0.041075364
20220119T1200,5.5205283,0,0.07483809
20220119T1300,5.290529,0,0.08802278
20220119T1400,6.4605284,0,0.1364313
20220119T1500,7.3505287,0,0.13841853
20220119T1600,7.3005285,0,0.12252067
20220119T1700,6.5805287,0,0.09088677
20220119T1800,5.1005287,0,0.041714665
20220119T1900,3.5905285,0,0.015036834
20220119T2000,2.6005285,0,0.008275376
20220119T2100,1.8905287,0,0.007304098
20220119T2200,1.7705287,0,0.007100198
20220119T2300,2.0205286,0,0.003266211
20220120T0000,2.2705286,0,0.004029284
20220120T0100,2.3005285,0,0.007647798
20220120T0200,2.2905285,0,0.010986481
20220120T0300,2.6205285,0,0.019172676
20220120T0400,2.4605286,0,0.012640869
20220120T0500,2.4105287,0,0.011286798
20220120T0600,2.2905285,0.2,0.008735003
20220120T0700,1.6005287,0.6,0.002890341
20220120T0800,1.6505287,0.3,0.004778863
20220120T0900,1.3105286,0.2,0.003686538
20220120T1000,1.5305287,0.2,0.012399473
20220120T1100,2.6305285,0,0.036562685
20220120T1200,3.4005284,0,0.06323079
20220120T1300,4.1905284,0,0.107850365
20220120T1400,4.540529,0,0.098205104
20220120T1500,4.790529,0,0.08847457
20220120T1600,4.8505287,0,0.071038134
20220120T1700,3.9905286,0.1,0.049155474
20220120T1800,3.7005286,0,0.057277754
20220120T1900,2.4805286,0,0.034393903
20220120T2000,1.0305287,0,0.016332861
20220120T2100,0.23052865,0,0.005855218
20220120T2200,-0.08947134,0,0.001149916
20220120T2300,-0.25947133,0,0
20220121T0000,-0.46947134,0,0.000390973
20220121T0100,-0.50947136,0,0.000961702
20220121T0200,-0.76947135,0,0
20220121T0300,-1.0094713,0,0
20220121T0400,-1.3194714,0,0
20220121T0500,-1.5294713,0,0
20220121T0600,-1.6794714,0,0
20220121T0700,-1.8994713,0,0
20220121T0800,-2.0894713,0,0.00022335
20220121T0900,-2.4894714,0,0
20220121T1000,-2.4694715,0,0
20220121T1100,-1.4494714,0,0.034147754
20220121T1200,-0.58947134,0,0.07576272
20220121T1300,0.08052866,0,0.1047755
20220121T1400,4.2005286,0,0.1395764
20220121T1500,5.9505286,0,0.14107639
20220121T1600,5.8305287,0,0.1143093
20220121T1700,3.3605285,0,0.061378747
20220121T1800,2.8705285,0,0.03029385
20220121T1900,1.7505287,0,0.006375305
20220121T2000,0.48052865,0,0.000981329
20220121T2100,0.09052865,0,0
20220121T2200,0.29052866,0,1.93E-05
20220121T2300,0.49052867,0,0
20220122T0000,0.6405287,0,0
20220122T0100,0.6905287,0,0
20220122T0200,0.54052866,0,0
20220122T0300,0.49052867,0,0.001555912
20220122T0400,-0.10947134,0,0.004890936
20220122T0500,-0.30947134,0,0.004517981
