Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Relative Humidity [2 m],Basilea Cloud Cover High [high cld lay],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Evapotranspiration,Basilea FAO Reference Evapotranspiration [2 m],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb],ID,month,Basilea Next Day Soil Moisture [0-10 cm down]
21.52,15.57,10.18,67,100,1024.4,1603,3231,5947,0.00288,0.001857577,19.28,20.640015,7.5793,36.088093,94.00417,20.268991,70.27772,32.431984,87.45519,24.774696,35.53766,58489,9,0.207
-1.56,-6.03,-8.88,75,0,1023.8,1472,2982,5504,0.0144,0.057429783,2.59,0.75,1.4155688,42.021423,96.3944,25.942488,87.61405,25.764534,74.60444,50.87604,63.072327,45393,3,0.244
24.96,14.22,5.16,44,0,1015.4,1526,3135,5792,0.31248,0.49726626,29.11,26.320007,18.12255,25.683926,95.630684,21.26744,87.08916,18.03237,116.05349,27.534704,64.440025,3496,5,0.278
26.33,13.13,2.58,31,0,1022.5,1590,3187,5838,0.0936,0.4252494,33.8,32.01001,25.331484,12.287555,354.95755,12.7279215,351.8699,26.82906,348.38852,42.45253,337.56702,48377,7,0.138
10.89,7.03,-3.13,61,52,1019.7,1504,3070,5667,0.01152,0.034660578,6.23,7.4599915,3.8157697,14.291592,229.08562,17.57744,235.00798,33.441265,255.66457,31.89608,249.51965,51765,11,0.275
16.63,8.09,1.18,79,100,1019.4,1527,3101,5722,0.00576,0.015691174,12.95,12.77002,3.1391525,14.4,233.1301,23.507753,242.65013,46.467896,247.20941,90.99743,253.21391,40350,8,0.259
22.18,9.58,-0.92,45,0,1008.9,1456,3036,5644,0.13824,0.3354695,25.82,24.589996,14.719324,40.315178,259.19177,42.530308,254.78741,52.198757,245.55606,84.1045,248.92728,57737,8,0.227
17.29,5.28,-4.45,43,0,1013.8,1474,3028,5606,0.0576,0.0649292,16.09,17.850006,10.614726,5.815978,21.801407,3.7064266,60.945396,21.03152,353.1183,40.481995,9.211014,46411,4,0.234
16.18,11.61,2.31,65,0,1012.4,1478,3067,5701,0.0,0.017532986,13.57,15.470001,5.4404907,28.883131,100.04935,13.527572,25.201126,11.298495,59.34932,19.416653,349.31512,56500,6,0.114
6.15,-1.84,-7.54,66,0,1020.2,1482,3003,5539,0.02736,0.020503374,7.03,8.470001,3.1920028,18.59845,104.57421,20.724247,107.1759,23.933908,313.78113,32.86861,298.8108,19968,4,0.267
19.55,7.32,-1.0,47,0,1006.1,1421,2987,5600,0.10224,0.1302057,20.13,21.640015,11.517225,13.698934,266.9872,13.397612,263.82983,13.684735,243.43495,27.402597,260.16644,6066,9,0.245
11.89,4.5,-4.49,59,22,1001.2,1349,2901,5471,0.11088,0.24991855,15.13,9.230011,5.5062017,8.225035,66.8014,26.7565,66.194046,42.69606,126.77328,50.87349,157.97272,19810,4,0.275
18.96,7.22,-2.94,61,87,1015.0,1493,3061,5646,0.11376,0.13630523,18.71,18.52002,8.255313,16.199999,270.0,23.906818,251.56506,28.712116,239.8987,27.257967,236.30994,3185,5,0.311
16.66,7.49,-1.83,88,100,1022.1,1549,3123,5726,0.04896,0.033830125,16.44,17.49002,2.2403698,21.166653,318.4474,27.492311,315.0,26.459387,303.90628,14.021525,240.80252,39597,7,0.286
15.74,6.79,-2.24,83,0,1017.9,1510,3078,5685,0.01584,0.005120919,13.01,14.76001,2.5998888,18.289274,349.79602,20.12461,349.69516,18.532133,352.1847,8.287822,272.48956,57769,8,0.208
11.93,8.95,1.02,76,15,1022.0,1539,3127,5770,0.03312,0.15017262,16.98,13.929993,3.4835281,25.509243,278.9306,22.79684,285.57254,33.190357,310.60132,60.45107,311.3785,15898,10,0.216
9.56,-0.75,-7.73,66,23,1014.2,1439,2965,5523,0.11232,0.1318555,10.43,8.300018,3.958704,38.03413,252.93715,41.560905,255.96376,48.46648,275.5412,98.419014,281.39215,278,1,0.318
12.39,-0.13,-6.42,47,12,1023.5,1528,3057,5621,0.09216,0.21201017,17.91,17.01001,8.094986,13.849476,8.972626,12.979984,19.440033,39.29116,13.781601,96.77574,15.535507,41919,10,0.225
19.37,10.25,0.76,82,0,1012.9,1485,3075,5704,0.01296,0.013923104,17.68,17.459991,3.6211452,9.779817,276.34018,14.81259,244.05771,44.813854,226.30196,55.49724,230.52754,40014,7,0.269
18.56,12.76,7.51,68,0,1019.1,1539,3157,5839,0.1008,0.27406952,23.73,19.380005,7.0983257,22.065973,84.382416,16.171976,73.17859,22.476227,31.908112,28.948118,10.750977,31521,8,0.254
29.15,19.91,7.13,48,40,1011.4,1518,3152,5833,0.14112,0.37120885,33.14,28.779999,21.01184,28.412645,292.34064,5.0142193,338.9625,11.165805,339.22775,21.166653,221.55261,22473,7,0.29
7.77,0.02,-1.42,72,30,1030.4,1565,3116,5739,0.03024,0.07512192,10.77,9.529999,3.1139555,17.902534,285.15405,18.0,306.8699,50.72041,332.52557,80.96479,342.93475,7209,10,0.24
9.13,6.11,-2.06,51,6,1021.1,1511,3074,5687,0.00144,0.021055192,4.21,5.9900208,4.7646294,7.4128532,240.9454,3.5455887,246.0375,13.009903,284.42078,44.33996,280.76254,41958,10,0.224
9.04,4.14,-6.13,74,0,1017.9,1476,3023,5561,0.00144,0.010500797,3.15,5.230011,2.188877,15.807239,239.93141,26.282463,246.5953,41.787918,247.1903,63.12433,266.4033,51695,11,0.272
11.58,11.3,3.6,71,100,985.7,1230,2834,5463,0.036,0.04581373,10.23,11.700012,3.4545527,25.417631,105.610985,62.68756,114.062706,78.10092,172.3181,73.61097,166.71135,16001,10,0.267
4.44,-3.92,-6.15,51,0,1025.0,1505,3025,5576,0.02736,0.03755622,2.79,5.4599915,3.7413745,42.86873,97.721825,28.357857,98.02724,34.06521,54.46232,42.548588,32.210907,28462,3,0.264
12.05,1.92,-5.9,76,0,1018.1,1487,3028,5590,0.14832,0.1814497,16.56,12.27002,3.49267,24.066206,304.64096,27.217524,307.4762,22.89611,36.689713,26.079508,353.65985,3057,5,0.311
16.56,4.06,-7.78,39,0,1014.3,1473,3015,5538,0.15408,0.3336273,22.79,21.029999,11.928032,8.473393,347.73523,7.69592,349.2157,3.319036,282.5288,17.581125,280.61966,37720,4,0.23
16.2,6.97,-0.57,67,12,1024.0,1564,3135,5752,0.01872,0.012577999,15.97,17.27002,5.5010204,8.0899935,122.27564,8.891343,148.24051,29.157776,339.77515,47.373863,348.6047,12935,6,0.223
18.52,8.37,-1.86,69,23,1016.4,1506,3082,5684,0.08208,0.17299764,20.89,19.380005,6.603117,3.7064266,240.9454,8.707237,240.25513,35.132755,225.83032,29.59235,216.5911,55619,5,0.301
6.65,2.48,-1.25,86,25,1025.5,1525,3080,5681,0.00288,0.0,4.07,6.25,1.1436849,30.96837,88.66778,34.22841,67.75098,26.099379,65.55604,13.32,360.0,7651,11,0.272
26.51,18.6,7.99,69,100,1015.3,1546,3183,5857,0.00144,0.007241598,23.53,24.830017,8.932484,19.48661,78.27489,16.766108,75.06858,42.353195,207.87195,98.60648,238.28287,56711,6,0.151
9.8,-0.16,-10.11,77,0,1004.1,1360,2887,5384,0.05184,0.044855997,7.25,8.050018,2.4928923,78.22031,272.90192,89.585045,284.42715,78.36515,299.74487,100.65911,304.65628,35754,1,0.333
20.72,11.91,-0.18,65,0,1016.1,1521,3107,5737,0.01872,0.009193406,17.2,18.670013,6.9222307,13.849476,278.97263,18.03237,296.0535,29.46287,324.95062,63.65488,309.7226,22658,8,0.255
20.27,7.87,1.73,50,0,1015.7,1505,3080,5713,0.16992,0.4627263,30.32,25.980011,12.845429,15.646544,336.97452,14.618837,307.99872,28.528723,317.0454,47.93275,327.26477,13357,7,0.225
