Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Relative Humidity [2 m],Basilea CAPE [180-0 mb above gnd],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [1000 mb],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Evapotranspiration,Basilea FAO Reference Evapotranspiration [2 m],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Soil Moisture [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m],Basilea Wind Speed [80 m],Basilea Wind Direction [80 m],Basilea Wind Gust,Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb],ID,month,Basilea Next Day Soil Moisture [0-10 cm down]
2.47,-4.0,-13.46,96,0,1001.4,10,1308,2815,5315,0.0,0.02188609,0.9,3.7600098,0.327,0.25147724,11.874544,284.03625,15.459054,297.75854,14.4,13.849477,332.10272,15.141414,331.607,7.5170207,286.69925,128.882,179.67992,19762,4,0.251
6.52,7.28,-2.04,81,0,1032.7,263,1597,3165,5752,0.01296,0.07413928,5.08,1.3999939,0.284,1.6096501,7.5685663,115.34617,12.10157,112.75097,9.36,4.0249224,296.56506,8.891344,21.370605,23.132626,20.973495,45.311398,340.98926,26267,12,0.286
21.16,17.66,5.91,77,0,1020.7,173,1573,3197,5854,0.0,0.014923805,15.86,17.320007,0.178,4.517398,7.9932966,125.83765,20.929594,130.81508,13.32,5.8603754,190.61966,11.570515,275.35583,17.786331,324.0579,50.293175,319.35425,57917,8,0.194
21.59,11.8,4.06,60,28,1016.7,142,1525,3128,5802,0.01728,0.008691496,20.66,21.369995,0.233,9.772291,3.4152596,251.56506,10.1376915,276.1155,12.24,18.861387,256.75946,22.039528,231.63252,49.300285,260.33133,65.11224,291.74258,5015,7,0.247
6.98,-3.2,-9.74,78,4,1021.0,172,1482,3000,5506,0.10368,0.09768706,9.13,7.869995,0.337,2.2320795,14.471821,354.28943,16.23596,356.18594,14.04,16.279802,35.09581,19.64228,63.904564,13.004922,48.366455,15.937878,198.43495,927,2,0.341
4.97,5.54,-2.59,74,0,1009.5,76,1403,2965,5548,0.00864,0.010694786,4.4,7.149994,0.217,2.046351,8.557102,284.62088,10.636766,293.9625,12.24,50.805935,92.436646,20.523157,74.74488,8.161764,311.42368,22.039528,308.3675,37851,4,0.223
31.49,18.98,6.43,41,1432,1017.2,146,1574,3202,5872,0.06624,0.25009558,35.67,32.28,0.13,27.88508,10.495713,300.96378,14.658676,294.67688,12.24,10.594036,260.2176,9.504272,232.69606,22.493519,219.80557,63.307816,202.04343,48641,7,0.118
22.96,12.53,0.84,62,512,1014.1,119,1508,3104,5726,0.11088,0.2725436,25.59,22.480011,0.266,10.591705,2.2768397,71.56504,2.2768397,71.56504,12.599999,9.3669195,177.79741,21.9718,235.00798,52.28806,231.70984,82.7726,236.1717,40044,7,0.273
13.82,6.13,-2.99,87,62,1011.2,95,1447,3009,5602,0.09648,0.06454202,13.71,14.480011,0.342,1.9521856,23.993399,242.2815,29.317352,245.32315,25.56,36.869694,296.06467,30.432245,297.47443,30.312773,344.14807,16.575644,145.61966,32102,8,0.288
19.41,10.66,1.0,46,0,1015.7,132,1506,3094,5715,0.11376,0.30700144,24.35,20.309998,0.237,12.433278,1.8,36.86989,0.8049845,26.565033,2.16,2.5455842,171.8699,0.35999998,270.0,12.783802,189.72758,21.382906,225.0,6973,10,0.238
